resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,,,,,,stim/VC_10.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,left,0.18398,2,0,22,9,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,right,0.10122,2,1,23,0,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,left,0.102165,2,2,24,1,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,right,0.12703,2,3,25,8,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,right,0.311,2,4,26,10,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,right,0.24074,2,5,27,7,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,left,0.175585,2,6,28,6,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,right,0.183215,2,7,29,5,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,left,0.55649,2,8,30,2,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,right,0.349765,2,9,31,3,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,right,0.6296,2,10,32,4,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,right,0.793925,,,,,,3,2.04959,0,0,0,10,1,,,,,,,
,,,,,,,stim/VC_09.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,left,0.177925,,,,,,,,0,1,1,8,1,,,,,,,
,,,,,,,stim/VC_08.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,right,0.178295,,,,,,,,0,2,2,7,1,,,,,,,
,,,,,,,stim/VC_07.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,left,0.41841,,,,,,,,0,3,3,6,1,,,,,,,
