resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran
,,,,,,,stim/VC_11.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,right,0.967625,2,4,26,10,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,left,0.783565,2,5,27,0,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,right,0.90856,2,6,28,9,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,left,0.733705,2,7,29,3,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,right,0.636605,2,8,30,7,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,left,0.66682,2,9,31,1,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,left,0.795525,2,10,32,4,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,left,1.08421,,,,,,4,0,3.766525,0,0,0,3,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,right,0.67513,,,,,,,,,0,1,1,10,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,right,0.832745,,,,,,,,,0,2,2,4,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,right,0.935615,,,,,,,,,0,3,3,8,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,left,0.542875,,,,,,,,,0,4,4,0,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,right,0.67715,,,,,,,,,0,5,5,7,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,right,0.774,,,,,,,,,0,6,6,6,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,right,0.583995,,,,,,,,,0,7,7,9,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,right,0.466755,,,,,,,,,0,8,8,5,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,left,0.75782,,,,,,,,,0,9,9,2,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,left,0.78734,,,,,,,,,0,10,10,1,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,left,0.61622,,,,,,,,,1,0,11,2,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,left,0.585995,,,,,,,,,1,1,12,5,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,left,0.43393,,,,,,,,,1,2,13,3,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,left,0.748935,,,,,,,,,1,3,14,8,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,left,0.639695,,,,,,,,,1,4,15,0,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,left,0.61179,,,,,,,,,1,5,16,1,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,left,0.58513,,,,,,,,,1,6,17,6,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,left,1.936665,,,,,,,,,1,7,18,4,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,right,0.6413,,,,,,,,,1,8,19,9,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,right,0.81697,,,,,,,,,1,9,20,7,1,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,right,0.71765,,,,,,,,,1,10,21,10,1,,,,,,,,,,,,,,
,,,,,,,stim2/pa+10.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,left,1.82377,0,0,0,1,1,,,,,,,
,,,,,,,stim2/pa-35.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,right,1.220055,0,1,1,16,1,,,,,,,
,,,,,,,stim2/pa+25.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,left,0.952685,0,2,2,4,1,,,,,,,
,,,,,,,stim2/pa+05.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,left,0.736645,0,3,3,0,1,,,,,,,
,,,,,,,stim2/pa+45.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,left,0.629785,0,4,4,8,1,,,,,,,
,,,,,,,stim2/pa+30.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,left,0.70486,0,5,5,5,1,,,,,,,
,,,,,,,stim2/pa-10.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,left,0.90838,0,6,6,11,1,,,,,,,
,,,,,,,stim2/pa+35.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,left,0.835675,0,7,7,6,1,,,,,,,
,,,,,,,stim2/pa-25.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,right,0.75183,0,8,8,14,1,,,,,,,
,,,,,,,stim2/pa-20.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,right,0.75862,0,9,9,13,1,,,,,,,
,,,,,,,stim2/pa+15.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,right,0.863095,0,10,10,2,1,,,,,,,
,,,,,,,stim2/pa+20.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,right,1.300675,0,11,11,3,1,,,,,,,
,,,,,,,stim2/pa-30.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,right,0.84167,0,12,12,15,1,,,,,,,
,,,,,,,stim2/pa-15.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,right,0.68485,0,13,13,12,1,,,,,,,
,,,,,,,stim2/pa+40.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,right,0.70007,0,14,14,7,1,,,,,,,
,,,,,,,stim2/pa+50.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,left,0.608185,0,15,15,9,1,,,,,,,
,,,,,,,stim2/pa-05.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,left,0.611705,0,16,16,10,1,,,,,,,
,,,,,,,stim2/pa-25.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,right,0.756405,1,0,17,14,1,,,,,,,
,,,,,,,stim2/pa+20.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,left,0.73918,1,1,18,3,1,,,,,,,
,,,,,,,stim2/pa-15.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,right,0.758455,1,2,19,12,1,,,,,,,
,,,,,,,stim2/pa+05.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,left,1.03697,1,3,20,0,1,,,,,,,
,,,,,,,stim2/pa-30.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,left,1.02889,1,4,21,15,1,,,,,,,
,,,,,,,stim2/pa+30.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,left,1.022785,1,5,22,5,1,,,,,,,
,,,,,,,stim2/pa+35.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,right,0.56913,1,6,23,6,1,,,,,,,
,,,,,,,stim2/pa+40.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,right,0.651315,1,7,24,7,1,,,,,,,
,,,,,,,stim2/pa+45.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,right,0.758995,1,8,25,8,1,,,,,,,
,,,,,,,stim2/pa+10.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,right,1.06802,1,9,26,1,1,,,,,,,
,,,,,,,stim2/pa-10.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,right,0.727905,1,10,27,11,1,,,,,,,
