stimuli,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,instrText.started,instrText.stopped,cross_tr.started,cross_tr.stopped,sound_1.started,sound_1.stopped,resp.keys,resp.rt,resp.started,resp.stopped,ifri_p.started,ifri_p.stopped,ufri_practice.started,ufri_practice.stopped,gotIT.started,gotIT.stopped,gotResponse.keys,gotResponse.rt,gotResponse.started,gotResponse.stopped,cross_tr_2.started,cross_tr_2.stopped,sound_2.started,sound_2.stopped,resp_2.keys,resp_2.rt,resp_2.started,resp_2.stopped,ifri_p_2.started,ifri_p_2.stopped,ufri_practice_2.started,ufri_practice_2.stopped,instrText_2.started,instrText_2.stopped,cross_tr_3.started,cross_tr_3.stopped,sound_3.started,sound_3.stopped,resp_3.keys,resp_3.rt,resp_3.started,resp_3.stopped,pafri.started,pafri.stopped,bafri.started,bafri.stopped,thanksText.started,thanksText.stopped,session,participant,date,expName,psychopyVersion,frameRate,
stim/VC_01.wav,0,0,0,0,,,,,,,,,29.719406799878925,None,33.614679199876264,34.02456199983135,34.10815721992403,None,left,11.306918200105429,34.10797549993731,None,34.10797549993731,None,34.10797549993731,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
stim/VC_11.wav,0,1,1,1,,,,,,,,,,,45.44727009977214,45.85729179996997,45.94060131986625,None,right,0.8617123998701572,45.940418399870396,None,45.940418399870396,None,45.940418399870396,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
,,,,,,,,,,,,,,,,,,,,,,,,,,,47.65744169987738,48.65670999977738,space,2.843470700085163,47.907203499926254,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
stim/VC_09.wav,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,50.78812779998407,51.19056909997016,51.2735230199527,None,right,1.2519335001707077,51.273573299869895,None,51.273573299869895,None,51.273573299869895,None,,,,,,,,,,,,,,,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
stim/VC_05.wav,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,52.54906279989518,52.95707129989751,53.040340419951825,None,left,1.094853000016883,53.04020489985123,None,53.04020489985123,None,53.04020489985123,None,,,,,,,,,,,,,,,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
stim/VC_06.wav,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,54.1619550997857,54.57351119979285,54.6569595198147,None,left,0.9729860001243651,54.65671689994633,None,54.65671689994633,None,54.65671689994633,None,,,,,,,,,,,,,,,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
stim/VC_08.wav,,,,,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,55.66205169982277,56.073414999991655,56.15679821986705,None,right,0.9270780000369996,56.15684529999271,None,56.15684529999271,None,56.15684529999271,None,,,,,,,,,,,,,,,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
stim/VC_11.wav,,,,,0,4,4,10,,,,,,,,,,,,,,,,,,,,,,,,,57.11151059996337,57.523202599957585,57.60658091991208,None,right,0.6706375000067055,57.606405599974096,None,57.606405599974096,None,57.606405599974096,None,,,,,,,,,,,,,,,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
stim/VC_03.wav,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,58.31135129998438,58.72311169980094,58.80651801996864,None,left,0.5317152000498027,58.806248699780554,None,58.806248699780554,None,58.806248699780554,None,,,,,,,,,,,,,,,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
stim/VC_07.wav,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,59.36148879979737,59.773310099961236,59.85662571978755,None,left,0.8615236999467015,59.85668489988893,None,59.85668489988893,None,59.85668489988893,None,,,,,,,,,,,,,,,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
