stimuli,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,instrText.started,instrText.stopped,cross_tr.started,cross_tr.stopped,sound_1.started,sound_1.stopped,resp.keys,resp.rt,resp.started,resp.stopped,eefree_p.started,eefree_p.stopped,offree_practice.started,offree_practice.stopped,gotIT.started,gotIT.stopped,gotResponse.keys,gotResponse.rt,gotResponse.started,gotResponse.stopped,cross_tr_2.started,cross_tr_2.stopped,sound_2.started,sound_2.stopped,resp_2.keys,resp_2.rt,resp_2.started,resp_2.stopped,eefree_p_2.started,eefree_p_2.stopped,offree_practice_2.started,offree_practice_2.stopped,instrText_2.started,instrText_2.stopped,cross_tr_3.started,cross_tr_3.stopped,sound_3.started,sound_3.stopped,resp_3.keys,resp_3.rt,resp_3.started,resp_3.stopped,pafri.started,pafri.stopped,bafri.started,bafri.stopped,session,participant,date,expName,psychopyVersion,frameRate,
stim/VC_05.wav,,,,,1,7,18,4,,,,,,,,,,,,,,,,,,,,,,,,,41.21347469999455,41.61339519987814,41.713534819963385,None,left,0.6955462999176234,41.71331959986128,None,41.71331959986128,None,41.71331959986128,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_03.wav,,,,,1,8,19,2,,,,,,,,,,,,,,,,,,,,,,,,,42.430859999964014,42.82982929982245,42.929973419825544,None,left,0.8767301000189036,42.92990539991297,None,42.92990539991297,None,42.92990539991297,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_11.wav,,,,,1,9,20,10,,,,,,,,,,,,,,,,,,,,,,,,,43.829628499923274,44.230599199887365,44.314114119927396,None,right,0.5541554999072105,44.31305439979769,None,44.31305439979769,None,44.31305439979769,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_09.wav,,,,,1,10,21,8,,,,,,,,,,,,,,,,,,,,,,,,,44.89724399987608,45.29737929999828,45.39633871994447,None,left,0.7642922999802977,45.39669199986383,None,45.39669199986383,None,45.39669199986383,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_04.wav,,,,,2,0,22,3,,,,,,,,,,,,,,,,,,,,,,,,,46.180739499861374,46.579780199797824,46.679527819924985,None,left,1.6194207998923957,46.679740799823776,None,46.679740799823776,None,46.679740799823776,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_05.wav,,,,,2,1,23,4,,,,,,,,,,,,,,,,,,,,,,,,,48.31613969989121,48.72936959983781,48.81272381993476,None,left,0.7789517999626696,48.81272509996779,None,48.81272509996779,None,48.81272509996779,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_10.wav,,,,,2,2,24,9,,,,,,,,,,,,,,,,,,,,,,,,,49.61592909996398,50.03011369984597,50.11266351987142,None,right,0.7887701999861747,50.11277799983509,None,50.11277799983509,None,50.11277799983509,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_02.wav,,,,,2,3,25,1,,,,,,,,,,,,,,,,,,,,,,,,,50.92914449982345,51.32963079982437,51.41292001989204,None,left,0.6367077000904828,51.41276489989832,None,51.41276489989832,None,51.41276489989832,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_09.wav,,,,,2,4,26,8,,,,,,,,,,,,,,,,,,,,,,,,,52.079289299901575,52.479361600009724,52.57894111990463,None,right,0.5668184000533074,52.579069499857724,None,52.579069499857724,None,52.579069499857724,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_11.wav,,,,,2,5,27,10,,,,,,,,,,,,,,,,,,,,,,,,,53.16374169988558,53.56331290001981,53.646533519797956,None,right,0.8997188999783248,53.64583479985595,None,53.64583479985595,None,53.64583479985595,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
