stimuli,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,instrText.started,instrText.stopped,cross_tr.started,cross_tr.stopped,sound_1.started,sound_1.stopped,resp.keys,resp.rt,resp.started,resp.stopped,eefree_p.started,eefree_p.stopped,offree_practice.started,offree_practice.stopped,gotIT.started,gotIT.stopped,gotResponse.keys,gotResponse.rt,gotResponse.started,gotResponse.stopped,cross_tr_2.started,cross_tr_2.stopped,sound_2.started,sound_2.stopped,resp_2.keys,resp_2.rt,resp_2.started,resp_2.stopped,eefree_p_2.started,eefree_p_2.stopped,offree_practice_2.started,offree_practice_2.stopped,instrText_2.started,instrText_2.stopped,cross_tr_3.started,cross_tr_3.stopped,sound_3.started,sound_3.stopped,resp_3.keys,resp_3.rt,resp_3.started,resp_3.stopped,pafri.started,pafri.stopped,bafri.started,bafri.stopped,thanksText.started,thanksText.stopped,session,participant,date,expName,psychopyVersion,frameRate,
stim/VC_08.wav,,,,,2,10,32,7,,,,,,,,,,,,,,,,,,,,,,,,,92.69737050007097,93.10987450019456,93.19337230010424,None,right,0.9113157000392675,93.19346120022237,None,93.19346120022237,None,93.19346120022237,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_07.wav,,,,,3,0,33,6,,,,,,,,,,,,,,,,,,,,,,,,,94.12991450005211,94.54332500020973,94.62642410022673,None,right,1.5809887000359595,94.6266789000947,None,94.6266789000947,None,94.6266789000947,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_01.wav,,,,,3,1,34,0,,,,,,,,,,,,,,,,,,,,,,,,,96.2297451000195,96.6431996000465,96.72627640001011,None,left,2.111534500028938,96.72634480008855,None,96.72634480008855,None,96.72634480008855,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_06.wav,,,,,3,2,35,5,,,,,,,,,,,,,,,,,,,,,,,,,98.8625090001151,99.2763164001517,99.35950100000483,None,left,2.481656299903989,99.35945360013284,None,99.35945360013284,None,99.35945360013284,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_10.wav,,,,,3,3,36,9,,,,,,,,,,,,,,,,,,,,,,,,,101.86337400018238,102.27622000011615,102.35937970012893,None,right,0.973632900044322,102.35931080020964,None,102.35931080020964,None,102.35931080020964,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_09.wav,,,,,3,4,37,8,,,,,,,,,,,,,,,,,,,,,,,,,103.36336520011537,103.77610540017486,103.85941940008198,None,right,2.224842800060287,103.85895260004327,None,103.85895260004327,None,103.85895260004327,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_02.wav,,,,,3,5,38,1,,,,,,,,,,,,,,,,,,,,,,,,,106.11184130003676,106.52530310000293,106.60870620000642,None,left,0.6625298999715596,106.60908409999683,None,106.60908409999683,None,106.60908409999683,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_08.wav,,,,,3,6,39,7,,,,,,,,,,,,,,,,,,,,,,,,,107.29807310015894,107.70896870014258,107.79249840017874,None,right,0.8968098999466747,107.79184380010702,None,107.79184380010702,None,107.79184380010702,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_04.wav,,,,,3,7,40,3,,,,,,,,,,,,,,,,,,,,,,,,,108.71219400013797,109.12582470010966,109.20948930012528,None,left,0.7544885000679642,109.20897540007718,None,109.20897540007718,None,109.20897540007718,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_11.wav,,,,,3,8,41,10,,,,,,,,,,,,,,,,,,,,,,,,,109.99630890018307,110.40877330000512,110.49227370016743,None,right,0.6381113000679761,110.49210970010608,None,110.49210970010608,None,110.49210970010608,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_05.wav,,,,,3,9,42,4,,,,,,,,,,,,,,,,,,,,,,,,,111.16218070010655,111.57543880003504,111.65871500012,None,left,0.8047102000564337,111.65857230010442,None,111.65857230010442,None,111.65857230010442,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_03.wav,,,,,3,10,43,2,,,,,,,,,,,,,,,,,,,,,,,,,112.49473430006765,112.9085985000711,112.99200250019786,None,left,0.9533967999741435,112.99339290009812,None,112.99339290009812,None,112.99339290009812,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_11.wav,,,,,4,0,44,10,,,,,,,,,,,,,,,,,,,,,,,,,113.97635420016013,114.39232189999893,114.47543870003429,None,right,0.6785035999491811,114.47562300018035,None,114.47562300018035,None,114.47562300018035,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_04.wav,,,,,4,1,45,3,,,,,,,,,,,,,,,,,,,,,,,,,115.17872460000217,115.59233410004526,115.67518650016282,None,left,0.6264152999501675,115.67557370010763,None,115.67557370010763,None,115.67557370010763,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_09.wav,,,,,4,2,46,8,,,,,,,,,,,,,,,,,,,,,,,,,116.32859400007874,116.74200790002942,116.82511090019253,None,right,0.6024003000929952,116.82532270019874,None,116.82532270019874,None,116.82532270019874,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_05.wav,,,,,4,3,47,4,,,,,,,,,,,,,,,,,,,,,,,,,117.46155550004914,117.87517300015315,117.95864490021486,None,left,0.6907394998706877,117.95860990020446,None,117.95860990020446,None,117.95860990020446,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_03.wav,,,,,4,4,48,2,,,,,,,,,,,,,,,,,,,,,,,,,118.67916940012947,119.09156460012309,119.17539000019897,None,left,0.8076267999131233,119.17517210007645,None,119.17517210007645,None,119.17517210007645,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_10.wav,,,,,4,5,49,9,,,,,,,,,,,,,,,,,,,,,,,,,120.01138500007801,120.4247472002171,120.50821430000943,None,right,0.7109755000565201,120.50874270009808,None,120.50874270009808,None,120.50874270009808,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_08.wav,,,,,4,6,50,7,,,,,,,,,,,,,,,,,,,,,,,,,121.24496070016176,121.65825500013307,121.74183840022889,None,right,1.7866735998541117,121.74142450001091,None,121.74142450001091,None,121.74142450001091,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_06.wav,,,,,4,7,51,5,,,,,,,,,,,,,,,,,,,,,,,,,123.56055280007422,123.97483360022306,124.05814550023061,None,left,0.9375215999316424,124.0589951002039,None,124.0589951002039,None,124.0589951002039,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_07.wav,,,,,4,8,52,6,,,,,,,,,,,,,,,,,,,,,,,,,125.02717780019157,125.44121590000577,125.52506220012438,None,right,1.3500113000627607,125.52562250010669,None,125.52562250010669,None,125.52562250010669,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_01.wav,,,,,4,9,53,0,,,,,,,,,,,,,,,,,,,,,,,,,126.89489520015195,127.30794410011731,127.39108630011324,None,left,0.6242368000093848,127.39222470019013,None,127.39222470019013,None,127.39222470019013,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_02.wav,,,,,4,10,54,1,,,,,,,,,,,,,,,,,,,,,,,,,128.04481880017556,128.45864400011487,128.5408548000036,None,left,0.8068458000198007,128.54085850017145,None,128.54085850017145,None,128.54085850017145,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
